gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Pawnee at Rozel,2009-09-25,2009-11-02,39
Pawnee at Rozel,2009-11-11,2010-04-22,163
Pawnee at Rozel,2010-05-03,2010-06-01,30
Pawnee at Rozel,2010-06-06,2010-06-06,1
Pawnee at Rozel,2010-06-09,2010-06-11,3
Pawnee at Rozel,2010-07-03,2010-07-03,1
Pawnee at Rozel,2010-08-02,2010-08-06,5
Pawnee at Rozel,2010-08-09,2010-08-12,4
Pawnee at Rozel,2010-08-16,2010-08-19,4
Pawnee at Rozel,2010-08-22,2010-08-22,1
Pawnee at Rozel,2010-09-07,2010-09-08,2
Pawnee at Rozel,2010-09-11,2011-04-09,211
Pawnee at Rozel,2011-04-11,2011-05-19,39
Pawnee at Rozel,2011-06-03,2011-07-09,37
Pawnee at Rozel,2011-07-11,2012-04-15,280
Pawnee at Rozel,2012-04-21,2012-07-08,79
Pawnee at Rozel,2012-07-16,2012-08-25,41
Pawnee at Rozel,2012-09-15,2013-07-20,309
Pawnee at Rozel,2013-07-22,2013-08-06,16
Pawnee at Rozel,2013-08-24,2013-10-16,54
Pawnee at Rozel,2013-10-23,2014-05-14,204
Pawnee at Rozel,2014-05-26,2014-06-28,34
Pawnee at Rozel,2014-07-11,2015-05-04,298
Pawnee at Rozel,2015-05-08,2015-05-16,9
Pawnee at Rozel,2015-05-19,2015-05-19,1
Pawnee at Rozel,2015-06-28,2015-07-24,27
Pawnee at Rozel,2015-08-14,2015-08-14,1
Pawnee at Rozel,2015-08-23,2015-08-24,2
Pawnee at Rozel,2015-09-01,2015-09-01,1
Pawnee at Rozel,2015-09-04,2015-09-22,19
Pawnee at Rozel,2015-09-26,2016-03-23,180
Pawnee at Rozel,2016-03-27,2016-04-16,21
Pawnee at Rozel,2016-06-19,2016-06-25,7
Pawnee at Rozel,2016-08-23,2016-08-26,4
Pawnee at Rozel,2016-09-07,2016-09-24,18
Pawnee at Rozel,2016-09-30,2017-01-19,112
Pawnee at Rozel,2017-01-24,2017-03-31,67
Pawnee at Rozel,2017-07-12,2017-08-05,25
Pawnee at Rozel,2017-08-08,2017-08-25,18
Pawnee at Rozel,2017-08-27,2017-10-03,38
Pawnee at Rozel,2017-10-28,2018-01-03,68
Pawnee at Rozel,2018-02-11,2018-02-14,4
Pawnee at Rozel,2018-02-27,2018-03-14,16
Pawnee at Rozel,2018-03-21,2018-05-28,69
Pawnee at Rozel,2018-06-05,2018-06-09,5
Pawnee at Rozel,2018-06-14,2018-06-23,10
Pawnee at Rozel,2018-10-04,2018-10-06,3
Pawnee at Rozel,2020-10-08,2020-11-12,36
Pawnee at Rozel,2021-07-29,2021-07-29,1
Pawnee at Rozel,2021-08-11,2021-08-19,9
Pawnee at Rozel,2021-09-20,2021-09-30,11
Pawnee near Burdett,1988-10-01,1989-06-03,246
Pawnee near Burdett,1989-06-20,1989-06-25,6
Pawnee near Burdett,1989-07-01,1990-03-12,255
Pawnee near Burdett,1990-03-15,1990-04-24,41
Pawnee near Burdett,1990-05-15,1990-06-20,37
Pawnee near Burdett,1990-07-03,1990-07-05,3
Pawnee near Burdett,1990-07-09,1990-07-20,12
Pawnee near Burdett,1990-08-05,1990-08-11,7
Pawnee near Burdett,1990-09-01,1992-06-11,650
Pawnee near Burdett,1992-06-16,1992-06-27,12
Pawnee near Burdett,1992-07-09,1992-07-18,10
Pawnee near Burdett,1992-08-30,1993-01-21,145
Pawnee near Burdett,1993-01-23,1993-02-01,10
Pawnee near Burdett,1993-02-05,1993-02-06,2
Pawnee near Burdett,1993-03-26,1993-03-29,4
Pawnee near Burdett,1993-04-17,1993-05-04,18
Pawnee near Burdett,1993-05-09,1993-05-23,15
Pawnee near Burdett,1993-06-11,1993-06-19,9
Pawnee near Burdett,1994-07-10,1994-07-20,11
Pawnee near Burdett,1994-07-27,1994-08-06,11
Pawnee near Burdett,1994-08-12,1994-08-26,15
Pawnee near Burdett,1994-09-06,1994-09-06,1
Pawnee near Burdett,1994-09-13,1994-12-14,93
Pawnee near Burdett,1995-01-01,1995-01-08,8
Pawnee near Burdett,1995-09-07,1995-09-12,6
Pawnee near Burdett,1995-10-06,1995-11-15,41
Pawnee near Burdett,1995-11-28,1996-01-05,39
Pawnee near Burdett,1996-02-26,1996-05-25,90
Pawnee near Burdett,1996-06-06,1996-06-15,10
Pawnee near Burdett,1996-06-21,1996-06-21,1
Pawnee near Burdett,1998-09-08,1998-10-03,26
Pawnee near Burdett,1998-10-14,1998-10-20,7
Pawnee near Burdett,1999-09-05,1999-09-16,12
Pawnee near Burdett,1999-10-17,1999-10-29,13
Pawnee near Burdett,2000-06-16,2000-06-26,11
Pawnee near Burdett,2000-08-17,2000-08-18,2
Pawnee near Burdett,2000-08-25,2001-02-23,183
Pawnee near Burdett,2001-03-07,2001-04-12,37
Pawnee near Burdett,2001-04-24,2001-05-10,17
Pawnee near Burdett,2001-05-14,2001-05-29,16
Pawnee near Burdett,2001-06-01,2001-06-01,1
Pawnee near Burdett,2001-06-03,2001-06-04,2
Pawnee near Burdett,2001-06-27,2001-07-28,32
Pawnee near Burdett,2001-08-02,2001-09-16,46
Pawnee near Burdett,2001-09-30,2002-05-04,217
Pawnee near Burdett,2002-05-09,2002-06-11,34
Pawnee near Burdett,2002-06-27,2002-07-27,31
Pawnee near Burdett,2002-08-06,2002-08-26,21
Pawnee near Burdett,2002-08-31,2002-10-02,33
Pawnee near Burdett,2002-10-08,2004-05-16,587
Pawnee near Burdett,2004-05-25,2004-06-18,25
Pawnee near Burdett,2004-06-30,2004-06-30,1
Pawnee near Burdett,2004-07-15,2004-07-28,14
Pawnee near Burdett,2004-08-07,2005-06-21,319
Pawnee near Burdett,2005-06-25,2005-07-04,10
Pawnee near Burdett,2005-07-10,2005-09-14,67
Pawnee near Burdett,2005-09-16,2006-08-18,337
Pawnee near Burdett,2006-08-24,2006-12-29,128
Pawnee near Burdett,2007-01-10,2007-02-17,39
Pawnee near Burdett,2007-02-28,2007-03-24,25
Pawnee near Burdett,2007-04-09,2007-04-13,5
Pawnee near Burdett,2007-04-26,2007-05-05,10
Pawnee near Burdett,2007-05-07,2007-05-16,10
Pawnee near Burdett,2007-05-20,2007-05-23,4
Pawnee near Burdett,2007-05-31,2007-06-09,10
Pawnee near Burdett,2007-06-11,2007-06-12,2
Pawnee near Burdett,2007-06-15,2007-07-11,27
Pawnee near Burdett,2007-07-21,2007-07-29,9
Pawnee near Burdett,2007-08-05,2007-08-08,4
Pawnee near Burdett,2007-08-12,2007-10-08,58
Pawnee near Burdett,2007-10-13,2008-05-06,207
Pawnee near Burdett,2008-05-22,2008-05-23,2
Pawnee near Burdett,2008-06-06,2008-06-23,18
Pawnee near Burdett,2008-06-28,2008-07-17,20
Pawnee near Burdett,2008-07-19,2008-07-28,10
Pawnee near Burdett,2008-07-30,2008-08-06,8
Pawnee near Burdett,2008-08-11,2008-09-11,32
Pawnee near Burdett,2008-09-17,2008-10-13,27
Pawnee near Burdett,2008-11-03,2008-11-12,10
