Time [days],well,recharge,river
518.0,-0.0007386919602882513,0.0018826779410534566,
519.0,-0.000743204166350056,0.0018793062779376424,
520.0,-0.0007477201718588122,0.0018759406530899359,
521.0,-0.0007522398558232751,0.0018725810556945444,
522.0,-0.0007567630976522549,0.0018692274749585458,
523.0,-0.0007612897771589605,0.0018658799001054494,
524.0,-0.0007658197745685769,0.0018625383203807466,
525.0,-0.0007703529705223727,0.0018592027250463605,
526.0,-0.0007748892460846812,0.0018558731033857523,
527.0,-0.0007794284827473269,0.001852549444701479,
528.0,-0.0007839705624348575,0.001849231738312973,
